outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,sample,sample_order
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,low_residential,estimated,-0.174120461411079,0.00659365256900689,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000540546100344155,-0.182164186798502,0.00638543155737042,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000229933864912596,-0.00804372538742371,4.61963247870874,-0.000208221011636462,,4087,Low residential share,5
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,low_residential,estimated,-0.184645751979411,0.0460320737758833,0.000257055469626019,-0.404790247650126,0.0541766350314021,0.00000000416799280452868,-0.220144495670715,119.225323794756,0.0081445612555188,0.990210936795296,4084,Low residential share,5
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,low_residential,estimated,-0.0921540662486774,0.0701916447280944,0.20338629938763,-0.176791115193215,0.092705074240839,0.070290184249876,-0.0846370489445373,91.8429890181346,0.0225134295127446,0.976903650872097,4087,Low residential share,5
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,none,No FE,1,large_area,estimated,-0.132291743823085,0.00273603210846377,0,-0.133418338160885,0.00278164573437555,0,-0.00112659433780005,0.851598372840745,0.0000456136259117789,,64318,Largest area,6
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa3,SA3,2,large_area,estimated,-0.0236534518428788,0.0921002124511995,0.798599869916034,0.0235343013329678,0.101635216465019,0.818034245011295,0.0471877531758466,-199.496265869766,0.00953500401381981,0.982189540976939,64318,Largest area,6
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa4,SA4,3,large_area,estimated,-0.155155254241275,0.0744122686624203,0.0524514432846269,-0.140263574627346,0.073365002449235,0.072899746912654,0.0148916796139293,-9.59792157007582,-0.00104726621318528,0.902797120800938,64318,Largest area,6
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,large_area,estimated,-0.0820962415009198,0.0128535650016994,0.000000000197564460511309,-0.0789088475343032,0.0137326028406052,0.0000000101245929755296,0.0031873939666166,-3.8825090020484,0.000879037838905812,,2792,Largest area,6
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,large_area,estimated,0.624263880159546,0.648786106400046,0.341728645021218,0.554836148745585,0.520313984339086,0.292660252035823,-0.0694277314139612,-11.1215358793812,-0.128472122060959,0.995281147849123,2791,Largest area,6
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,large_area,estimated,0.00466534122987798,0.144797534715576,0.974672067590352,-0.00107707849913832,0.14497023191942,0.994158540925948,-0.0057424197290163,-123.08681071902,0.000172697203844441,0.9553703432216,2792,Largest area,6
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,none,No FE,1,sydney,estimated,-0.484199435418597,0.00142855053085114,0,-0.471576519987723,0.00140031350598638,0,0.0126229154308746,-2.60696616053711,-0.0000282370248647552,,158324,Greater Sydney,2
