outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,bootstrap_se,ci_low,ci_high,p_value_delta,clusters,global_fdr_q,within_outcome_fdr_q,relative_ci_low,relative_ci_high,absorption_percent
shops1,Shops within 1 km,primary,2,poa,Postcode,3,apartment,Apartment,2,sa4,SA4,3,full,estimated,0.027519952966758,0.00558853531942295,0.0000373213782796246,0.0275896479470786,0.00654201521567731,0.00024851139623181,0.0000696949803205837,0.253252541546023,0.000953479896254355,0.453752410978892,58203,0.00639916820550693,-0.0116152634409426,0.0129009277065853,0.987,421,0.999,0.987,-42.2066980091608,46.8784511447699,45.3752410978892
shops2,Shops within 2 km,primary,3,sa1,SA1,1,house,House,1,none,No FE,1,full,estimated,0.0562639221788501,0.00052887950700698,0,0.0576521876197305,0.000523482061320351,0,0.00138826544088033,2.46741675147948,-0.00000539744568662951,,281194,0.000744158374540366,-0.0000614932344854878,0.00279392014767688,0.06,16759,0.130344827586207,0.0830769230769231,-0.109294254833523,4.96574010392601,
shops2,Shops within 2 km,primary,3,sa1,SA1,1,house,House,1,sa3,SA3,2,full,estimated,0.0250755107752653,0.00440617496175551,0.00000118947864346938,0.0262362031097562,0.00425566388782113,0.000000251986341614301,0.00116069233449088,4.62878840193275,-0.000150511073934384,0.403297022616555,281194,0.00060213082601952,0.0000544371947540598,0.00229935704613261,0.043,16759,0.09675,0.0645,0.217093064392359,9.16973164271779,40.3297022616555
shops2,Shops within 2 km,primary,3,sa1,SA1,1,house,House,1,sa4,SA4,3,full,estimated,0.0375431240451525,0.00545911503366224,0.000000217553598161144,0.0391608264155294,0.0056038219785177,0.000000164059207224059,0.00161770237037693,4.30891784186991,0.000144706944855463,0.311512788351388,281194,0.000597412927375238,0.000443416186477229,0.00274618112083693,0.006,16759,0.0184390243902439,0.0108,1.1810849463245,7.31473789324016,31.1512788351388
shops2,Shops within 2 km,primary,3,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,estimated,0.0597739826795731,0.00161084992842072,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000662087535158385,0.0615120836229721,0.00161197496946109,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111253745072776,0.00173810094339899,2.90778841476287,0.00000112504104037318,,58217,0.00191060564981519,-0.00152736130327217,0.00549652601589675,0.411,5229,0.562891304347826,0.462375,-2.55522760037558,9.19551579047636,
shops2,Shops within 2 km,primary,3,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.0261415483803431,0.00693699890095241,0.000530381407251529,0.0265897331111354,0.00701285383873891,0.000495342722580587,0.00044818473079225,1.71445365160259,0.0000758549377865075,0.554478007743083,58216,0.00177617070052278,-0.00282115297782588,0.00383821549144118,0.807,5229,0.897473684210526,0.835,-10.7918358039848,14.6824336324595,55.4478007743083
shops2,Shops within 2 km,primary,3,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,estimated,0.0354416862972872,0.00692065669734436,0.0000219959990449334,0.0357927187474547,0.00711092345496104,0.0000278352303679388,0.000351032450167495,0.990450756837613,0.000190266757616678,0.395402679685952,58216,0.00168805862685366,-0.00265043944469719,0.0037232402851724,0.835,5229,0.914869565217391,0.835,-7.47831077354821,10.505257153798,39.5402679685952
shops2,Shops within 2 km,primary,3,sa2,SA2,2,house,House,1,none,No FE,1,full,estimated,0.0562639221788501,0.00052887950700698,0,0.0300973379987326,0.000433065567492892,0,-0.0261665841801175,-46.5068611764035,-0.0000958139395140883,,281194,0.00628285688407135,-0.0378820300677087,-0.0138130114986675,0.001,621,0.0043448275862069,0.003,-67.3291668989773,-24.5503885327424,
shops2,Shops within 2 km,primary,3,sa2,SA2,2,house,House,1,sa3,SA3,2,full,estimated,0.0250755107752653,0.00440617496175551,0.00000118947864346938,0.00942829049740619,0.004741966078742,0.0534863168230349,-0.0156472202778591,-62.4004049931205,0.000335791116986486,0.460386269292818,281194,0.00385475277474736,-0.0230611412343923,-0.00814394957428798,0.001,621,0.0043448275862069,0.003,-91.9667856063774,-32.4777016399651,46.0386269292818
shops2,Shops within 2 km,primary,3,sa2,SA2,2,house,House,1,sa4,SA4,3,full,estimated,0.0375431240451525,0.00545911503366224,0.000000217553598161144,0.0145164758278071,0.00553290484196202,0.0141348873960042,-0.0230266482173453,-61.3338628656784,0.0000737898082997816,0.343348700727235,281194,0.0050547307655457,-0.0327041274309376,-0.0123094219005099,0.001,621,0.0043448275862069,0.003,-87.1108312446372,-32.7874203694545,34.3348700727235
shops2,Shops within 2 km,primary,3,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,estimated,0.0597739826795731,0.00161084992842072,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000662087535158385,0.00976979531627364,0.00123732690811317,0.00000000000000293259375080844,-0.0500041873632995,-83.6554385732569,-0.000373523020307546,,58217,0.0136119817636667,-0.0770033255190473,-0.0241765044435268,0.001,560,0.0043448275862069,0.003,-128.82415068749,-40.446534361159,
shops2,Shops within 2 km,primary,3,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,estimated,0.0261415483803431,0.00693699890095241,0.000530381407251529,-0.00284394764273035,0.0111876263610625,0.800639655364583,-0.0289854960230735,-110.879032876526,0.00425062746011009,0.618201740714617,58216,0.00837007714001617,-0.0454791064342687,-0.0135804521851498,0.001,560,0.0043448275862069,0.003,-173.972504507293,-51.9496855640022,61.8201740714617
shops2,Shops within 2 km,primary,3,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,estimated,0.0354416862972872,0.00692065669734436,0.0000219959990449334,0.000799792532403441,0.0114444907784701,0.944800626080326,-0.0346418937648838,-97.7433564371212,0.00452383408112569,0.468194915813537,58216,0.00930868369555164,-0.0520490666808381,-0.0168998664464274,0.001,560,0.0043448275862069,0.003,-146.858324528486,-47.6835845356517,46.8194915813537
shops2,Shops within 2 km,primary,3,poa,Postcode,3,house,House,1,none,No FE,1,full,estimated,0.0562406294844919,0.00052899269392897,0,0.0398293347548275,0.000434964034777696,0,-0.0164112947296644,-29.1804961645917,-0.0000940286591512741,,281076,0.00720762535318086,-0.0297489031280424,-0.0013587318817359,0.025,596,0.065625,0.0409090909090909,-52.8957506356602,-2.41592580700144,
shops2,Shops within 2 km,primary,3,poa,Postcode,3,house,House,1,sa3,SA3,2,full,estimated,0.0250576617816049,0.00440475872534449,0.00000119815024670871,0.0102157047193914,0.00583386834657957,0.0874072385098532,-0.0148419570622136,-59.2312131577623,0.00142910962123508,0.660507110224709,281076,0.00469526800803879,-0.0239796507287576,-0.00558528571561072,0.002,596,0.007,0.004,-95.6978785082064,-22.2897322355549,66.0507110224709
shops2,Shops within 2 km,primary,3,poa,Postcode,3,house,House,1,sa4,SA4,3,full,estimated,0.0375233088950772,0.0054544234566165,0.000000216292677560737,0.0205200979163189,0.00695223463443112,0.00646759945671651,-0.0170032109787583,-45.3137302637749,0.00149781117781462,0.546209160158026,281076,0.0059699558130118,-0.0285029461768315,-0.00529767651184387,0.002,596,0.007,0.004,-75.9606415748983,-14.1183618072096,54.6209160158026
shops2,Shops within 2 km,primary,3,poa,Postcode,3,apartment,Apartment,2,none,No FE,1,full,estimated,0.0595203348119355,0.00161184230099042,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451044707587052,0.0284408319370755,0.00105443352204927,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297225897610239,-0.0310795028748601,-52.2166129828754,-0.000557408778941147,,58204,0.0102634112346883,-0.0512660733301667,-0.0114317568602508,0.002,421,0.007,0.004,-86.1320311657359,-19.2064727061287,
